query,HGNC,MIM,_id,_score,entrezgene,pdb,ensembl.gene,ensembl.protein,refseq.genomic,refseq.protein,refseq.rna,refseq.translation,uniprot.Swiss-Prot,uniprot.TrEMBL,refseq.translation.protein,refseq.translation.rna,ec,notfound,ensembl
KDM5D,11115,426000,8284,108.61375,8284,"['2E6R', '2YQE']",ENSG00000012817,"['ENSP00000322408', 'ENSP00000372256', 'ENSP00000389433', 'ENSP00000398543', 'ENSP00000416377', 'ENSP00000444293']","['NC_000024.10', 'NG_032920.1']","['NP_001140177.1', 'NP_001140178.1', 'NP_004644.2', 'XP_005262617.1', 'XP_005262618.1', 'XP_011529770.1', 'XP_024308263.1', 'XP_024308264.1']","['NM_001146705.1', 'NM_001146706.2', 'NM_004653.5', 'XM_005262560.3', 'XM_005262561.3', 'XM_011531468.3', 'XM_024452495.1', 'XM_024452496.1', 'XR_001756009.2', 'XR_001756010.2', 'XR_001756011.2', 'XR_001756012.2', 'XR_001756013.2', 'XR_002958832.1', 'XR_002958833.1', 'XR_002958834.1', 'XR_002958835.1', 'XR_002958836.1', 'XR_002958837.1', 'XR_244571.4', 'XR_430568.4']","[{'protein': 'NP_004644.2', 'rna': 'NM_004653.5'}, {'protein': 'NP_001140177.1', 'rna': 'NM_001146705.1'}, {'protein': 'NP_001140178.1', 'rna': 'NM_001146706.2'}, {'protein': 'XP_024308263.1', 'rna': 'XM_024452495.1'}, {'protein': 'XP_005262618.1', 'rna': 'XM_005262561.3'}, {'protein': 'XP_024308264.1', 'rna': 'XM_024452496.1'}, {'protein': 'XP_011529770.1', 'rna': 'XM_011531468.3'}, {'protein': 'XP_005262617.1', 'rna': 'XM_005262560.3'}]",Q9BY66,"['E9PFH2', 'A0A384MR42', 'H7BZF9', 'C9JGA3']",,,,,
KDM5A,9886,180202,5927,87.39974,5927,"['2JXJ', '2KGG', '2KGI', '3GL6', '5C11', '5CEH', '5E6H', '5ISL', '5IVB', '5IVC', '5IVE', '5IVF', '5IVJ', '5IVV', '5IVY', '5IW0', '5IWF', '5K4L', '5V9P', '5V9T', '6BGU', '6BGV', '6BGW', '6BGX', '6BGY', '6BGZ', '6BH0', '6BH1', '6BH2', '6BH3', '6BH4', '6BH5', '6DQ4', '6DQ5', '6DQ6', '6DQ7', '6DQ8', '6DQ9', '6DQA', '6DQB', '6DQC', '6DQD', '6DQE', '6DQF']",ENSG00000073614,"['ENSP00000382688', 'ENSP00000438203', 'ENSP00000440622', 'ENSP00000443854', 'ENSP00000444251']","['NC_000012.12', 'NG_046993.1']",NP_001036068.1,"['NM_001042603.3', 'NM_005056.2']",,P29375,"['F5GZ99', 'F5H322', 'F5GZR8', 'E7EV89']",NP_001036068.1,NM_001042603.3,,,
KDM5B,18039,605393,10765,88.325615,10765,"['2MA5', '2MNY', '2MNZ', '5A1F', '5A3N', '5A3P', '5A3T', '5A3W', '5FPL', '5FPU', '5FUN', '5FUP', '5FV3', '5FY4', '5FY5', '5FY9', '5FYB', '5FYS', '5FYT', '5FYU', '5FYV', '5FYY', '5FYZ', '5FZ0', '5FZ1', '5FZ3', '5FZ4', '5FZ6', '5FZ7', '5FZ8', '5FZ9', '5FZA', '5FZB', '5FZC', '5FZD', '5FZE', '5FZF', '5FZG', '5FZH', '5FZI', '5FZK', '5FZL', '5FZM', '5LW9', '5LWB', '6EIN', '6EIU', '6EIY', '6EJ0', '6EJ1', '6EK6', '6H4Z', '6H50', '6H51', '6H52']",ENSG00000117139,"['ENSP00000235790', 'ENSP00000356233', 'ENSP00000356234', 'ENSP00000473481', 'ENSP00000497042', 'ENSP00000497113', 'ENSP00000497288', 'ENSP00000497297', 'ENSP00000497564', 'ENSP00000497621', 'ENSP00000497670', 'ENSP00000497671', 'ENSP00000497685', 'ENSP00000497743', 'ENSP00000497809', 'ENSP00000497823', 'ENSP00000497827', 'ENSP00000497862', 'ENSP00000497898']","['NC_000001.11', 'NG_050659.1']","['NP_001300971.1', 'NP_001334520.1', 'NP_006609.3', 'XP_011507392.1', 'XP_011507393.1', 'XP_011507394.1']","['NM_001314042.1', 'NM_001347591.1', 'NM_006618.5', 'XM_011509090.3', 'XM_011509091.2', 'XM_011509092.2']","[{'protein': 'XP_011507392.1', 'rna': 'XM_011509090.3'}, {'protein': 'NP_001334520.1', 'rna': 'NM_001347591.1'}, {'protein': 'XP_011507393.1', 'rna': 'XM_011509091.2'}, {'protein': 'NP_001300971.1', 'rna': 'NM_001314042.1'}, {'protein': 'NP_006609.3', 'rna': 'NM_006618.5'}, {'protein': 'XP_011507394.1', 'rna': 'XM_011509092.2'}]",Q9UGL1,"['B3KV94', 'A0A3B3ITA8', 'A0A3B3ITR1', 'A0A3B3ITJ7', 'A0A3B3ITJ3', 'A0A3B3IT25', 'A0A3B3ITE7', 'R4GN45', 'A0A3B3IT51', 'A0A3B3IS31', 'A0A3B3IT85', 'A0A3B3ITN3', 'A0A3B3ITR3', 'A0A3B3IS40', 'A0A3B3ISE6', 'A0A3B3ITA9', 'A0A3B3ISK2']",,,,,
KDM5C,11114,314690,8242,90.634415,8242,"['2JRZ', '5FWJ']",ENSG00000126012,"['ENSP00000344004', 'ENSP00000364528', 'ENSP00000364532', 'ENSP00000364550', 'ENSP00000385394', 'ENSP00000407277', 'ENSP00000409757', 'ENSP00000445176']","['NC_000023.11', 'NG_008085.2']","['NP_001140174.1', 'NP_001269551.1', 'NP_001340907.1', 'NP_001340908.1', 'NP_001340910.1', 'NP_001340911.1', 'NP_001340913.1', 'NP_004178.2']","['NM_001146702.2', 'NM_001282622.3', 'NM_001353978.3', 'NM_001353979.2', 'NM_001353981.2', 'NM_001353982.2', 'NM_001353984.1', 'NM_004187.5', 'NR_148672.2', 'NR_148673.2', 'NR_148674.2']","[{'protein': 'NP_004178.2', 'rna': 'NM_004187.5'}, {'protein': 'NP_001269551.1', 'rna': 'NM_001282622.3'}, {'protein': 'NP_001140174.1', 'rna': 'NM_001146702.2'}, {'protein': 'NP_001340911.1', 'rna': 'NM_001353982.2'}, {'protein': 'NP_001340908.1', 'rna': 'NM_001353979.2'}, {'protein': 'NP_001340913.1', 'rna': 'NM_001353984.1'}, {'protein': 'NP_001340910.1', 'rna': 'NM_001353981.2'}, {'protein': 'NP_001340907.1', 'rna': 'NM_001353978.3'}]",P41229,"['F8WF56', 'F8W7H7', 'F8WDK1']",,,,,
KDM2B,13610,609078,84678,89.32018,84678,"['4O64', '5JH5', '6BVA']",ENSG00000089094,"['ENSP00000366269', 'ENSP00000366271', 'ENSP00000398279', 'ENSP00000437497', 'ENSP00000437821', 'ENSP00000438138', 'ENSP00000440373', 'ENSP00000440942', 'ENSP00000442293', 'ENSP00000443052', 'ENSP00000444846', 'ENSP00000445102', 'ENSP00000445196', 'ENSP00000474307', 'ENSP00000480847']","['NC_000012.12', 'NG_033820.1']","['NP_001005366.1', 'NP_115979.3', 'XP_005254012.1', 'XP_005254013.1', 'XP_005254018.1', 'XP_011537169.1', 'XP_011537170.1', 'XP_011537171.1', 'XP_011537177.1']","['NM_001005366.2', 'NM_032590.5', 'XM_005253955.4', 'XM_005253956.4', 'XM_005253961.5', 'XM_011538867.3', 'XM_011538868.3', 'XM_011538869.2', 'XM_011538875.3']","[{'protein': 'XP_011537170.1', 'rna': 'XM_011538868.3'}, {'protein': 'XP_011537171.1', 'rna': 'XM_011538869.2'}, {'protein': 'NP_115979.3', 'rna': 'NM_032590.5'}, {'protein': 'XP_011537177.1', 'rna': 'XM_011538875.3'}, {'protein': 'XP_005254013.1', 'rna': 'XM_005253956.4'}, {'protein': 'XP_005254018.1', 'rna': 'XM_005253961.5'}, {'protein': 'XP_011537169.1', 'rna': 'XM_011538867.3'}, {'protein': 'XP_005254012.1', 'rna': 'XM_005253955.4'}, {'protein': 'NP_001005366.1', 'rna': 'NM_001005366.2'}]",Q8NHM5,"['F5H0A1', 'B4DSN4', 'F5H7T7', 'F8WBN2', 'S4R3G4', 'A0A0C4DGG3', 'F6SRV7', 'F5H4X4', 'F5H5W7', 'F5GXW2', 'F5GXC2', 'F5H6N6', 'F5H4A7']",,,1.14.11.27,,
KDM2A,13606,605657,22992,89.706665,22992,"['2YU1', '2YU2', '4BBQ', '6BYH', '6C16']",ENSG00000173120,"['ENSP00000309302', 'ENSP00000381640', 'ENSP00000432786', 'ENSP00000435776']",NC_000011.10,"['NP_001243334.1', 'NP_036440.1', 'XP_006718543.1', 'XP_011543162.1', 'XP_011543163.1', 'XP_016872880.1', 'XP_016872881.1']","['NM_001256405.2', 'NM_012308.3', 'NR_027473.2', 'XM_006718480.3', 'XM_011544860.3', 'XM_011544861.1', 'XM_017017391.1', 'XM_017017392.1']","[{'protein': 'NP_001243334.1', 'rna': 'NM_001256405.2'}, {'protein': 'XP_016872880.1', 'rna': 'XM_017017391.1'}, {'protein': 'NP_036440.1', 'rna': 'NM_012308.3'}, {'protein': 'XP_011543163.1', 'rna': 'XM_011544861.1'}, {'protein': 'XP_006718543.1', 'rna': 'XM_006718480.3'}, {'protein': 'XP_011543162.1', 'rna': 'XM_011544860.3'}, {'protein': 'XP_016872881.1', 'rna': 'XM_017017392.1'}]",Q9Y2K7,"['I3VM54', 'I3VM53']",,,1.14.11.27,,
KDM3A,20815,611512,55818,89.4729,55818,,ENSG00000115548,"['ENSP00000323659', 'ENSP00000386516', 'ENSP00000386660', 'ENSP00000394691', 'ENSP00000396561', 'ENSP00000397660']","['NC_000002.12', 'NG_047167.1']","['NP_001140160.1', 'NP_060903.2', 'XP_006712114.1', 'XP_016859983.1', 'XP_024308762.1', 'XP_024308763.1', 'XP_024308764.1', 'XP_024308765.1']","['NM_001146688.1', 'NM_018433.6', 'XM_006712051.4', 'XM_017004494.1', 'XM_024452994.1', 'XM_024452995.1', 'XM_024452996.1', 'XM_024452997.1']","[{'protein': 'XP_024308764.1', 'rna': 'XM_024452996.1'}, {'protein': 'XP_024308765.1', 'rna': 'XM_024452997.1'}, {'protein': 'XP_016859983.1', 'rna': 'XM_017004494.1'}, {'protein': 'XP_024308763.1', 'rna': 'XM_024452995.1'}, {'protein': 'NP_001140160.1', 'rna': 'NM_001146688.1'}, {'protein': 'NP_060903.2', 'rna': 'NM_018433.6'}, {'protein': 'XP_024308762.1', 'rna': 'XM_024452994.1'}, {'protein': 'XP_006712114.1', 'rna': 'XM_006712051.4'}]",Q9Y4C1,"['C9JC73', 'C9J7Q7', 'F8WE62']",,,,,
KDM3B,1337,609373,51780,87.76168,51780,4C8D,ENSG00000120733,"['ENSP00000326563', 'ENSP00000423012', 'ENSP00000425186', 'ENSP00000439462']",NC_000005.10,"['NP_057688.3', 'XP_005272075.1', 'XP_011541790.1', 'XP_011541791.1', 'XP_016865073.1', 'XP_024301883.1']","['NM_016604.4', 'XM_005272018.4', 'XM_011543488.2', 'XM_011543489.2', 'XM_017009584.1', 'XM_024446115.1']","[{'protein': 'XP_005272075.1', 'rna': 'XM_005272018.4'}, {'protein': 'XP_011541790.1', 'rna': 'XM_011543488.2'}, {'protein': 'XP_011541791.1', 'rna': 'XM_011543489.2'}, {'protein': 'NP_057688.3', 'rna': 'NM_016604.4'}, {'protein': 'XP_016865073.1', 'rna': 'XM_017009584.1'}, {'protein': 'XP_024301883.1', 'rna': 'XM_024446115.1'}]",Q7LBC6,"['H0Y946', 'H0Y9V5']",,,,,
KDM4A,22978,609764,9682,89.47054,9682,"['2GF7', '2GFA', '2GP3', '2GP5', '2OQ6', '2OQ7', '2OS2', '2OT7', '2OX0', '2P5B', '2PXJ', '2Q8C', '2Q8D', '2Q8E', '2QQR', '2QQS', '2VD7', '2WWJ', '2YBK', '2YBP', '2YBS', '3NJY', '3PDQ', '3RVH', '3U4S', '4AI9', '4BIS', '4GD4', '4URA', '4V2V', '4V2W', '5A7N', '5A7O', '5A7P', '5A7Q', '5A7S', '5A7W', '5A80', '5ANQ', '5D6W', '5D6X', '5D6Y', '5F2S', '5F2W', '5F32', '5F37', '5F39', '5F3C', '5F3E', '5F3G', '5F3I', '5F5I', '5FPV', '5FWE', '5FY8', '5FYC', '5FYH', '5FYI', '5LY1', '5LY2', '5TVR', '5TVS', '5VAR', '5VGI', '5VMP', '6CG1', '6CG2', '6G5W', '6G5X', '6H4O', '6H4P', '6H4Q', '6H4R', '6H4S', '6H4T', '6H4U', '6H4V', '6H4W', '6H4X', '6H4Y', '6H8P', '6HGT']",ENSG00000066135,"['ENSP00000361473', 'ENSP00000493741', 'ENSP00000496362']",NC_000001.11,"['NP_055478.2', 'XP_005271411.1', 'XP_005271412.1']","['NM_014663.3', 'XM_005271354.3', 'XM_005271355.3']","[{'protein': 'XP_005271411.1', 'rna': 'XM_005271354.3'}, {'protein': 'NP_055478.2', 'rna': 'NM_014663.3'}, {'protein': 'XP_005271412.1', 'rna': 'XM_005271355.3'}]",O75164,"['A0A2R8Y7L1', 'A0A2R8YDF7']",,,1.14.11.-,,
KDM4C,17071,605469,23081,88.67836,23081,"['2XDP', '2XML', '4XDO', '4XDP', '5FJH', '5FJK', '5KR7']",ENSG00000107077,"['ENSP00000370707', 'ENSP00000370710', 'ENSP00000383990', 'ENSP00000400127', 'ENSP00000404756', 'ENSP00000405739', 'ENSP00000440656', 'ENSP00000445427']",NC_000009.12,"['NP_001140167.1', 'NP_001140168.1', 'NP_001291268.1', 'NP_001291269.1', 'NP_001291270.1', 'NP_001340926.1', 'NP_001340927.1', 'NP_001340928.1', 'NP_001340929.1', 'NP_001340930.1', 'NP_055876.2', 'XP_011516113.1', 'XP_016869987.1', 'XP_016869988.1', 'XP_016869990.1', 'XP_016869991.1', 'XP_016869993.1', 'XP_024303226.1', 'XP_024303227.1']","['NM_001146694.1', 'NM_001146695.4', 'NM_001146696.2', 'NM_001304339.4', 'NM_001304340.4', 'NM_001304341.4', 'NM_001353997.3', 'NM_001353998.3', 'NM_001353999.3', 'NM_001354000.3', 'NM_001354001.3', 'NM_015061.6', 'NR_130707.4', 'NR_148677.3', 'NR_148678.3', 'NR_148679.3', 'NR_148680.3', 'XM_011517811.3', 'XM_017014498.2', 'XM_017014499.2', 'XM_017014501.2', 'XM_017014502.2', 'XM_017014504.2', 'XM_024447458.1', 'XM_024447459.1', 'XR_001746252.2', 'XR_001746255.2']","[{'protein': 'NP_055876.2', 'rna': 'NM_015061.6'}, {'protein': 'NP_001140168.1', 'rna': 'NM_001146696.2'}, {'protein': 'XP_011516113.1', 'rna': 'XM_011517811.3'}, {'protein': 'NP_001340926.1', 'rna': 'NM_001353997.3'}, {'protein': 'NP_001340927.1', 'rna': 'NM_001353998.3'}, {'protein': 'NP_001291269.1', 'rna': 'NM_001304340.4'}, {'protein': 'NP_001140167.1', 'rna': 'NM_001146695.4'}, {'protein': 'NP_001291268.1', 'rna': 'NM_001304339.4'}, {'protein': 'XP_024303227.1', 'rna': 'XM_024447459.1'}, {'protein': 'XP_016869987.1', 'rna': 'XM_017014498.2'}, {'protein': 'NP_001340929.1', 'rna': 'NM_001354000.3'}, {'protein': 'NP_001340930.1', 'rna': 'NM_001354001.3'}, {'protein': 'NP_001340928.1', 'rna': 'NM_001353999.3'}, {'protein': 'NP_001291270.1', 'rna': 'NM_001304341.4'}, {'protein': 'XP_016869993.1', 'rna': 'XM_017014504.2'}, {'protein': 'XP_016869990.1', 'rna': 'XM_017014501.2'}, {'protein': 'XP_016869991.1', 'rna': 'XM_017014502.2'}, {'protein': 'XP_016869988.1', 'rna': 'XM_017014499.2'}, {'protein': 'XP_024303226.1', 'rna': 'XM_024447458.1'}]",Q9H3R0,"['F8WCN1', 'B0QZ60', 'C9J879', 'A0A0A0MSR6']",,,1.14.11.-,,
